Start Time	End Time	Transportation Mode
2007/06/26 11:32:29	2007/06/26 11:40:29	bus
2007/08/09 14:30:44	2007/08/09 14:39:34	bus
2007/08/10 01:39:58	2007/08/10 01:54:48	bus
2007/08/14 00:40:51	2007/08/14 00:52:53	bus
2007/08/14 00:52:53	2007/08/14 00:58:20	walk
2007/08/14 00:58:20	2007/08/14 01:21:08	train
2007/08/14 01:21:08	2007/08/14 01:23:56	walk
2007/08/21 13:23:52	2007/08/21 13:39:25	bus
2007/08/21 13:39:25	2007/08/21 13:45:53	walk
2007/08/22 01:56:52	2007/08/22 02:02:55	walk
2007/08/22 02:02:55	2007/08/22 02:13:46	bus
2007/08/22 02:13:46	2007/08/22 02:17:13	walk
2007/08/22 02:17:13	2007/08/22 02:23:47	train
2007/11/05 13:12:08	2007/11/05 13:24:51	bus
2007/11/05 13:25:55	2007/11/05 13:30:26	walk
2007/11/06 00:02:34	2007/11/06 00:08:41	bus
2007/11/06 14:25:54	2007/11/06 14:35:59	bus
2007/11/06 14:38:04	2007/11/06 14:43:02	walk
2007/11/08 12:47:08	2007/11/08 12:55:23	bus
2007/11/08 12:56:13	2007/11/08 13:00:06	walk
2007/11/09 05:55:54	2007/11/09 05:56:22	walk
2007/11/09 06:01:43	2007/11/09 06:13:37	bus
2007/11/09 06:13:45	2007/11/09 06:25:13	walk
2007/11/09 12:51:53	2007/11/09 13:06:28	walk
2007/11/12 00:10:24	2007/11/12 00:23:19	walk
2007/11/12 14:15:21	2007/11/12 14:17:04	walk
2007/11/12 14:22:03	2007/11/12 14:29:40	bus
2007/11/12 14:30:54	2007/11/12 14:34:53	walk
2007/11/14 14:27:00	2007/11/14 14:31:26	walk
2007/11/15 00:36:37	2007/11/15 00:38:40	walk
2007/11/15 00:42:26	2007/11/15 00:52:07	bus
2007/11/15 00:53:44	2007/11/15 00:58:40	walk
2007/11/15 01:21:52	2007/11/15 01:24:14	walk
2007/11/15 12:49:25	2007/11/15 12:53:23	walk
2007/11/15 13:29:13	2007/11/15 13:31:51	walk
2007/11/16 05:03:24	2007/11/16 05:16:07	bus
2007/11/16 05:17:26	2007/11/16 05:33:25	walk
2007/11/16 07:19:06	2007/11/16 07:39:18	bus
2007/11/16 07:40:02	2007/11/16 07:44:19	walk
2007/11/18 23:45:00	2007/11/18 23:48:03	walk
2007/11/20 13:58:07	2007/11/20 14:05:34	walk
2007/11/20 14:06:54	2007/11/20 14:24:15	subway
2007/11/20 14:24:24	2007/11/20 14:27:08	walk
2007/11/20 14:34:37	2007/11/20 14:35:36	bus
2007/11/21 00:30:07	2007/11/21 00:32:55	walk
2007/11/21 00:33:42	2007/11/21 00:48:37	bus
2007/11/21 00:49:01	2007/11/21 00:49:54	walk
2007/11/21 13:52:01	2007/11/21 14:25:08	subway
2007/11/21 14:26:52	2007/11/21 14:33:44	walk
2007/11/22 00:16:30	2007/11/22 00:19:39	walk
2007/11/22 00:23:23	2007/11/22 00:33:41	bus
2007/11/22 00:35:22	2007/11/22 00:36:17	walk
2007/11/22 13:55:55	2007/11/22 14:00:28	walk
2007/11/22 14:08:19	2007/11/22 14:23:42	subway
2007/11/22 14:23:47	2007/11/22 14:25:56	walk
2007/11/22 14:29:02	2007/11/22 14:37:07	bus
2007/11/22 14:38:13	2007/11/22 14:42:53	walk
2007/11/23 00:14:31	2007/11/23 00:17:53	walk
2007/11/23 00:31:03	2007/11/23 00:35:39	walk
2007/11/23 01:00:54	2007/11/23 01:03:35	walk
2007/11/24 01:16:04	2007/11/24 01:20:31	walk
2007/11/26 00:23:03	2007/11/26 12:42:05	walk
2007/11/26 12:42:15	2007/11/26 12:53:12	bus
2007/11/26 12:53:14	2007/11/26 12:53:51	walk
2007/11/26 13:53:33	2007/11/26 13:59:22	walk
2007/11/26 13:59:32	2007/11/26 14:13:35	subway
2007/11/26 14:14:48	2007/11/26 14:16:32	walk
2007/11/26 14:16:42	2007/11/26 14:19:02	bus
2007/11/26 14:26:54	2007/11/26 14:36:34	walk
2007/11/27 13:57:17	2007/11/27 14:03:45	walk
2007/11/27 14:07:45	2007/11/27 14:09:53	subway
2007/11/27 14:38:56	2007/11/27 15:07:50	walk
2007/11/28 00:55:45	2007/11/28 01:00:19	walk
2007/11/28 01:00:35	2007/11/28 01:12:03	bus
2007/11/28 01:12:06	2007/11/28 01:21:49	walk
2007/11/28 01:44:24	2007/11/28 01:45:27	walk
2007/11/28 13:54:53	2007/11/28 14:14:46	subway
2007/11/28 14:14:46	2007/11/28 14:18:46	walk
2007/11/28 14:18:46	2007/11/28 14:41:57	bus
2007/11/28 14:42:02	2007/11/28 14:42:17	walk
2007/11/28 14:42:20	2007/11/28 14:44:45	bike
2007/11/29 00:12:09	2007/11/29 00:16:10	walk
2007/11/29 00:16:10	2007/11/29 00:25:29	bus
2007/11/29 00:25:29	2007/11/29 00:34:55	walk
2007/11/29 00:54:52	2007/11/29 00:55:53	walk
2007/11/29 14:01:49	2007/11/29 14:34:55	walk
2007/11/29 14:53:21	2007/11/29 14:54:22	walk
2007/11/29 14:54:27	2007/11/29 15:03:36	bike
2007/11/29 15:03:39	2007/11/29 15:07:52	walk
2007/11/30 01:56:57	2007/11/30 02:01:40	walk
2007/11/30 02:01:45	2007/11/30 02:10:42	bus
2007/11/30 02:10:47	2007/11/30 02:12:10	walk
2007/11/30 02:33:04	2007/11/30 02:35:03	walk
2007/11/30 13:46:46	2007/11/30 14:06:52	subway
2007/11/30 14:06:52	2007/11/30 14:15:52	walk
2007/11/30 14:15:52	2007/11/30 14:41:12	bike
2007/11/30 14:41:14	2007/11/30 14:51:13	walk
2007/12/03 14:26:13	2007/12/03 14:27:04	walk
2007/12/03 14:27:09	2007/12/03 14:37:03	bus
2007/12/03 14:37:08	2007/12/03 14:40:17	walk
2007/12/04 02:00:06	2007/12/04 02:00:15	walk
2007/12/04 13:26:01	2007/12/04 13:26:42	walk
2007/12/04 13:26:47	2007/12/04 13:34:22	bus
2007/12/04 13:34:27	2007/12/04 13:38:57	walk
2007/12/05 01:29:39	2007/12/05 01:33:24	walk
2007/12/05 01:33:29	2007/12/05 01:43:21	bus
2007/12/05 01:43:46	2007/12/05 01:45:54	walk
2007/12/05 13:52:31	2007/12/05 13:55:48	walk
2007/12/05 13:55:58	2007/12/05 14:15:59	subway
2007/12/05 14:16:02	2007/12/05 14:16:53	walk
2007/12/05 14:16:58	2007/12/05 14:30:17	bus
2007/12/05 14:30:22	2007/12/05 14:30:58	walk
2007/12/06 01:40:04	2007/12/06 01:44:09	walk
2007/12/06 01:44:14	2007/12/06 01:55:47	bus
2007/12/06 01:55:52	2007/12/06 01:57:59	walk
2007/12/06 01:58:37	2007/12/06 02:19:54	subway
2007/12/14 00:11:29	2007/12/14 00:14:15	walk
2007/12/14 00:18:15	2007/12/14 01:01:05	subway
2007/12/14 01:01:05	2007/12/14 01:36:21	taxi
2007/12/19 14:26:46	2007/12/19 14:31:05	walk
2007/12/19 14:31:08	2007/12/19 14:38:59	bus
2007/12/19 14:39:04	2007/12/19 14:43:49	walk
2007/12/19 23:58:27	2007/12/20 00:02:31	walk
2007/12/20 00:02:34	2007/12/20 00:12:51	bus
2007/12/20 00:12:56	2007/12/20 00:22:46	walk
2007/12/20 00:22:46	2007/12/20 00:46:28	subway
2007/12/20 00:46:33	2007/12/20 00:49:31	walk
2007/12/20 10:48:15	2007/12/20 10:49:15	walk
2007/12/20 10:49:18	2007/12/20 11:09:56	subway
2007/12/20 11:10:01	2007/12/20 11:11:37	walk
2007/12/20 11:11:42	2007/12/20 11:41:32	bus
2007/12/20 11:41:37	2007/12/20 11:47:13	walk
2007/12/21 01:04:09	2007/12/21 01:08:20	walk
2007/12/21 01:08:25	2007/12/21 01:17:46	bus
2007/12/21 01:17:51	2007/12/21 01:20:05	walk
2007/12/21 01:20:11	2007/12/21 01:37:20	subway
2007/12/21 01:37:23	2007/12/21 01:41:43	walk
2007/12/21 11:12:15	2007/12/21 12:00:47	walk
2007/12/22 00:28:43	2007/12/22 00:33:22	walk
2007/12/22 00:33:27	2007/12/22 00:48:32	bus
2007/12/22 00:48:37	2007/12/22 00:50:12	walk
2007/12/22 00:50:17	2007/12/22 01:20:19	subway
2007/12/22 16:24:00	2007/12/22 16:25:01	walk
2007/12/22 16:25:06	2007/12/22 16:45:53	subway
2007/12/22 16:45:58	2007/12/23 07:46:09	walk
2007/12/23 03:32:07	2007/12/23 03:40:52	walk
2007/12/23 03:40:57	2007/12/23 03:46:09	bus
2007/12/23 03:54:12	2007/12/23 03:56:05	walk
2007/12/23 15:04:56	2007/12/23 15:06:50	walk
